t,msd
594.1,-57.87176522424281
594.2,-57.8638492583436
594.3000000000001,-57.86785957160822
594.4,-57.87408517649252
594.5,-57.87310042050866
594.6,-57.88087215039255
594.7,-57.900161610847945
594.8000000000001,-57.91535959636112
594.9,-57.92072826528977
595.0,-57.93720611183016
595.1,-57.9657360011868
595.2,-57.981081739812026
595.3000000000001,-57.995935357256265
595.4,-58.02523969479178
595.5,-58.07222760595379
595.6,-58.12117647422214
595.7,-58.168237302745084
595.8000000000001,-58.204421456446035
595.9,-58.21786600422143
596.0,-58.20621015652061
596.1,-58.197269788863224
596.2,-58.2105466428757
596.3000000000001,-58.2277281674511
596.4,-58.21224673882698
596.5,-58.16539587756743
596.6,-58.11567915245347
596.7,-58.09114165927032
596.8000000000001,-58.089799079189405
596.9,-58.094850702798006
597.0,-58.1136265249918
597.1,-58.15682815373865
597.2,-58.22310487159124
597.3000000000001,-58.287237607431024
597.4,-58.32441034115678
597.5,-58.32526869514984
597.6,-58.29739339839141
597.7,-58.259355247759835
597.8000000000001,-58.21265932937517
597.9,-58.1519242921477
598.0,-58.08750598583507
598.1,-58.03729172903713
598.2,-58.011880998191124
598.3000000000001,-58.01819500539712
598.4,-58.05300281667533
598.5,-58.09166270060262
598.6,-58.09281938043555
598.7,-58.05811863957538
598.8000000000001,-58.0269772490669
598.9,-58.03311438566455
599.0,-58.061608914569625
599.1,-58.086708847826024
599.2,-58.10834867596931
599.3000000000001,-58.13349901929952
599.4,-58.14502342761211
599.5,-58.138568726491044
599.6,-58.139270312697064
599.7,-58.15767697188785
599.8000000000001,-58.1782909165752
599.9,-58.19711142230211
600.0,-58.214565018113724
600.1,-58.226216427176816
600.2,-58.22608223923303
600.3000000000001,-58.22801359794868
600.4,-58.22954834766368
600.5,-58.23141675859473
600.6,-58.23542063874538
600.7,-58.240946412343135
600.8000000000001,-58.259184687051345
600.9,-58.30903546243971
601.0,-58.38676539763847
601.1,-58.47282496221747
601.2,-58.557636923738755
601.3000000000001,-58.64504809043665
601.4,-58.72538585601872
601.5,-58.77434408411083
601.6,-58.774147425208504
601.7,-58.724652633059556
601.8000000000001,-58.645716755174824
601.9,-58.55753102495305
602.0,-58.46421354329922
602.1,-58.38479513763881
602.2,-58.35221734067564
602.3000000000001,-58.37516431126424
602.4,-58.41929918493881
602.5,-58.44750781495565
602.6,-58.45434628115199
602.7,-58.430097497350566
602.8000000000001,-58.374262672509616
602.9,-58.31206372779813
603.0,-58.27158748861643
603.1,-58.26482426698587
603.2,-58.281175575003466
603.3000000000001,-58.31174258871781
603.4,-58.33920471239301
603.5,-58.36886667920928
603.6,-58.41190617985052
603.7,-58.455025245273745
603.8000000000001,-58.47189218097692
603.9,-58.455895340706405
604.0,-58.41964391092896
604.1,-58.37973904509279
604.2,-58.35247958015803
604.3000000000001,-58.33616388265715
604.4,-58.33195505293159
604.5,-58.331579758736936
604.6,-58.34023214173638
604.7,-58.351478467528246
604.8000000000001,-58.35464260333784
604.9,-58.34941736257731
605.0,-58.34223325400395
605.1,-58.33297306542605
605.2,-58.30425827884783
605.3000000000001,-58.26060024470481
605.4,-58.22195141463172
605.5,-58.19889499011601
605.6,-58.189351138313704
605.7,-58.16254310676619
605.8000000000001,-58.1285623765453
605.9,-58.11566850363798
606.0,-58.147461567314174
606.1,-58.20140340660532
606.2,-58.24926257558576
606.3000000000001,-58.276867917999105
606.4,-58.287623548029686
606.5,-58.2743883030733
606.6,-58.2468783162417
606.7,-58.2322924996254
606.8000000000001,-58.261603527179275
606.9,-58.33759083581422
607.0,-58.43691570170183
607.1,-58.53205238208696
607.2,-58.600866962896816
607.3000000000001,-58.63154871596767
607.4,-58.625179071249086
607.5,-58.58943073719529
607.6,-58.54775603974725
607.7,-58.54563628312982
607.8000000000001,-58.588463399969505
607.9,-58.633864872024496
